"Author","Average Page Count"
"Peter F. Hamilton","957.25"
"Peter V. Brett","724.8"
"Liu Cixin","569.33"
"Dan Simmons","567.75"
"Alastair Reynolds","559.73"
"James S.A. Corey","557.62"
"Joe Abercrombie","533.57"
"Adrian Tchaikovsky","528.5"
"Josiah Bancroft","473.33"
"Iain M. Banks","451.75"
"Robert Jackson Bennett","446.33"
"N.K. Jemisin","432.33"
"K.J. Parker","382.0"
"John Scalzi","330.57"
"Isaac Asimov","325.71"
"Dennis E. Taylor","302.67"
"Ursula K. Le Guin","274.67"
"Arthur C. Clarke","262.67"
"Kurt Vonnegut Jr.","246.8"
"Philip K. Dick","232.4"
