"Book","Publication Year"
"We by Yevgeny Zamyatin","1920"
"Sirius by Olaf Stapledon","1944"
"""I, Robot"" by Isaac Asimov","1950"
"Foundation by Isaac Asimov","1951"
"Foundation and Empire by Isaac Asimov","1952"
"Childhood's End by Arthur C. Clarke","1953"
"Second Foundation by Isaac Asimov","1953"
"Fahrenheit 451 by Ray Bradbury","1953"
"The Demolished Man by Alfred Bester","1953"
"I Am Legend by Richard Matheson","1954"
"The Caves of Steel by Isaac Asimov","1954"
"The Stars My Destination by Alfred Bester","1955"
"The End of Eternity by Isaac Asimov","1955"
"The Naked Sun by Isaac Asimov","1956"
"The City and the Stars by Arthur C. Clarke","1956"
"A Canticle for Leibowitz by Walter M. Miller Jr.","1959"
"The Sirens of Titan by Kurt Vonnegut Jr.","1959"
"Starship Troopers by Robert A. Heinlein","1959"
"Mother Night by Kurt Vonnegut Jr.","1961"
"The Man in the High Castle by Philip K. Dick","1962"
"The Man Who Fell to Earth by Walter Tevis","1963"
"Cat's Cradle by Kurt Vonnegut Jr.","1963"
"The Spy Who Came in from the Cold by John le Carré","1963"
"Dune by Frank Herbert","1965"
"The Three Stigmata of Palmer Eldritch by Philip K. Dick","1965"
"The Moon is a Harsh Mistress by Robert A. Heinlein","1966"
"Flowers for Algernon by Daniel Keyes","1966"
"Lord of Light by Roger Zelazny","1967"
"2001: A Space Odyssey by Arthur C. Clarke","1968"
"Do Androids Dream of Electric Sheep? by Philip K. Dick","1968"
"Slaughterhouse-Five by Kurt Vonnegut Jr.","1969"
"The Left Hand of Darkness by Ursula K. Le Guin","1969"
"Ubik by Philip K. Dick","1969"
"Tau Zero by Poul Anderson","1970"
"The Day of the Jackal: The legendary assassination thriller by Frederick Forsyth","1971"
"The Lathe of Heaven by Ursula K. Le Guin","1971"
"The Gods Themselves by Isaac Asimov","1972"
"Roadside Picnic by Arkady Strugatsky","1972"
"Breakfast of Champions by Kurt Vonnegut Jr.","1973"
"The Dispossessed by Ursula K. Le Guin","1974"
"The Forever War by Joe Haldeman","1974"
"The Selfish Gene by Richard Dawkins","1976"
"A Scanner Darkly by Philip K. Dick","1977"
"Gateway by Frederik Pohl","1977"
"The Hitchhiker's Guide to the Galaxy by Douglas Adams","1979"
"Mockingbird by Walter Tevis","1980"
"Cosmos by Carl Sagan","1980"
"Foundation's Edge by Isaac Asimov","1982"
"The Robots of Dawn by Isaac Asimov","1983"
"Armor by John Steakley","1984"
"Contact by Carl Sagan","1985"
"Ender's Game by Orson Scott Card","1985"
"Robots and Empire by Isaac Asimov","1985"
"The Handmaid's Tale by Margaret Atwood","1985"
"Foundation and Earth by Isaac Asimov","1986"
"Consider Phlebas by Iain M. Banks","1987"
"Prelude to Foundation by Isaac Asimov","1988"
"The Player of Games by Iain M. Banks","1988"
"Hyperion by Dan Simmons","1989"
"Axiomatic by Greg Egan","1990"
"The Fall of Hyperion by Dan Simmons","1990"
"Use of Weapons by Iain M. Banks","1990"
"The State of the Art by Iain M. Banks","1991"
"A Fire Upon the Deep by Vernor Vinge","1992"
"Forward the Foundation by Isaac Asimov","1993"
"Feersum Endjinn by Iain M. Banks","1994"
"Excession by Iain M. Banks","1996"
"The Reality Dysfunction by Peter F. Hamilton","1996"
"Endymion by Dan Simmons","1996"
"The Rise of Endymion by Dan Simmons","1997"
"The Neutronium Alchemist by Peter F. Hamilton","1997"
"Inversions by Iain M. Banks","1998"
"The Naked God by Peter F. Hamilton","1999"
"Starfish by Peter Watts","1999"
"Look to Windward by Iain M. Banks","2000"
"Revelation Space by Alastair Reynolds","2000"
"American Gods by Neil Gaiman","2001"
"Chasm City by Alastair Reynolds","2001"
"Fallen Dragon by Peter F. Hamilton","2001"
"Redemption Ark by Alastair Reynolds","2002"
"Absolution Gap by Alastair Reynolds","2003"
"The Algebraist by Iain M. Banks","2004"
"Century Rain by Alastair Reynolds","2004"
"Pandora's Star by Peter F. Hamilton","2004"
"Pushing Ice by Alastair Reynolds","2005"
"Spin by Robert Charles Wilson","2005"
"Old Man's War by John Scalzi","2005"
