"Author","Number of Ratings"
"Ray Bradbury","1768940.0"
"Margaret Atwood","1544305.0"
"Douglas Adams","1500848.0"
"Orson Scott Card","1172084.0"
"Andy Weir","856926.0"
"Frank Herbert","832379.0"
"Neil Gaiman","788779.0"
"Daniel Keyes","500615.0"
"Kurt Vonnegut Jr.","388876.2"
"Madeline Miller","352865.5"
"Emily St. John Mandel","345143.0"
"Blake Crouch","205534.5"
"Richard Dawkins","193728.0"
"Hugh Howey","166412.0"
"Robert A. Heinlein","159192.0"
"Philip K. Dick","152976.8"
"Scott Lynch","148949.0"
"Arthur C. Clarke","144747.33"
"Joe Haldeman","144705.0"
"Carl Sagan","125052.0"
"Frederick Forsyth","122439.0"
"N.K. Jemisin","118574.67"
"V.E. Schwab","117861.0"
"Isaac Asimov","112185.43"
"Richard Matheson","101287.0"
"Dan Simmons","98117.5"
"Liu Cixin","98091.33"
"Walter M. Miller Jr.","97235.0"
"Brent Weeks","92438.5"
"Ursula K. Le Guin","91936.0"
"John le Carré","84914.0"
"Joe Abercrombie","82091.43"
"James S.A. Corey","79576.38"
"Yevgeny Zamyatin","75862.0"
"John Scalzi","66186.29"
"Peter V. Brett","60873.4"
"Vernor Vinge","53233.0"
"Chris Hadfield","50320.0"
"Ted Chiang","46408.0"
"Arkady Strugatsky","45523.0"
"Dennis E. Taylor","42654.33"
"Frederik Pohl","40779.0"
"Robert Charles Wilson","36865.0"
"Alfred Bester","36692.0"
"Iain M. Banks","29933.42"
"Roger Zelazny","29131.0"
"Adrian Tchaikovsky","22131.75"
"Arkady Martine","21756.0"
"Peter F. Hamilton","21536.58"
"Nicholas Eames","19747.5"
"Robert Jackson Bennett","18098.0"
"Peter Watts","17933.0"
"John Steakley","17100.0"
"Alastair Reynolds","17089.18"
"Poul Anderson","12338.0"
"Josiah Bancroft","10705.0"
"Carlo Rovelli","8249.0"
"C. Robert Cargill","8016.0"
"Kameron Hurley","7548.0"
"Walter Tevis","6610.0"
"Marko Kloos","5632.0"
"Guy Gavriel Kay","5324.0"
"Greg Egan","4344.0"
"Gareth L. Powell","3732.0"
"Ed McDonald","3101.0"
"Derek Künsken","2909.0"
"K.J. Parker","2591.33"
"Olaf Stapledon","1265.0"
"Marcus Chown","576.0"
"K.K. Edin","168.0"
"Simone Caroti","96.0"
