"Author","Page Count","Book Count"
"Peter F. Hamilton","11487","12"
"Alastair Reynolds","6157","11"
"Iain M. Banks","5205","11"
"Isaac Asimov","4560","14"
"James S.A. Corey","4461","8"
"Joe Abercrombie","3738","7"
"Peter V. Brett","3624","5"
"John Scalzi","2314","7"
"Adrian Tchaikovsky","2114","4"
"Scott Lynch","1901","3"
"Liu Cixin","1708","3"
"N.K. Jemisin","1341","3"
"Ed McDonald","1252","3"
"Kurt Vonnegut Jr.","1234","5"
"Philip K. Dick","1162","5"
"K.J. Parker","1146","3"
"Dan Simmons","999","2"
"Dennis E. Taylor","908","3"
"Derek Künsken","874","2"
"Carl Sagan","857","2"
"Richard Dawkins","831","2"
"Ursula K. Le Guin","824","3"
"Blake Crouch","800","2"
"Arthur C. Clarke","788","3"
"Kameron Hurley","768","2"
"Neil Gaiman","750","1"
"Madeline Miller","711","2"
"Peter Watts","701","2"
"Robert A. Heinlein","670","2"
"K.K. Edin","588","1"
"Vernor Vinge","579","1"
"Frank Herbert","577","1"
"Hugh Howey","537","1"
"Nicholas Eames","502","1"
"Alfred Bester","494","2"
"Walter Tevis","480","2"
"Robert Charles Wilson","464","1"
"Arkady Martine","462","1"
"John Steakley","426","1"
"Gareth L. Powell","411","1"
"Andy Weir","369","1"
"Orson Scott Card","368","1"
"C. Robert Cargill","365","1"
"Ted Chiang","352","1"
"V.E. Schwab","340","1"
"Emily St. John Mandel","339","1"
"Walter M. Miller Jr.","334","1"
"Margaret Atwood","320","1"
"Chris Hadfield","311","1"
"Roger Zelazny","304","1"
"Marko Kloos","288","1"
"Marcus Chown","288","1"
"Frederik Pohl","280","1"
"Carlo Rovelli","255","1"
"Simone Caroti","242","1"
"Joe Haldeman","241","1"
"Yevgeny Zamyatin","233","1"
"Ray Bradbury","227","1"
"Daniel Keyes","224","1"
"Arkady Strugatsky","209","1"
"Olaf Stapledon","194","1"
"Poul Anderson","190","1"
"Douglas Adams","184","1"
