"Month","Pages Read Median"
"2018-06","561.0"
"2018-07","2247.0"
"2018-08","2818.33"
"2018-09","2427.42"
"2018-10","1998.25"
"2018-11","2904.5"
"2018-12","2402.07"
"2019-01","2769.77"
"2019-02","1924.16"
"2019-03","2211.5"
"2019-04","1759.5"
"2019-05","2194.36"
"2019-06","2541.14"
"2019-07","2238.3"
"2019-08","2460.99"
"2019-09","1956.71"
"2019-10","2961.0"
"2019-11","2335.6"
"2019-12","2376.4"
"2020-01","3376.44"
"2020-02","3005.56"
"2020-03","2525.8"
"2020-04","2788.2"
"2020-05","3799.0"
"2020-06","2879.6"
"2020-07","3130.2"
"2020-08","3621.2"
"2020-09","2588.71"
"2020-10","3501.57"
"2020-11","1055.71"
